Bank Txn ID,Payment Number,Amount,Bank Date
BNK-00001,PAY-2026-0002,23772.08,2026-04-06
BNK-00002,PAY-2026-0003,1577.0,2026-11-27
BNK-00003,PAY-2026-0004,40827.15,2026-12-08
BNK-00004,PAY-2026-0005,31783.25,2026-02-26
BNK-00005,PAY-2026-0006,20787.69,2026-08-10
BNK-00006,PAY-2026-0007,10049.8,2026-08-02
BNK-00007,PAY-2026-0008,27912.77,2026-04-05
BNK-00008,PAY-2026-0009,4325.33,2026-03-22
BNK-00009,PAY-2026-0010,4634.92,2026-07-21
BNK-00010,PAY-2026-0011,44514.57,2026-10-08
BNK-00011,PAY-2026-0012,20615.45,2026-11-13
BNK-00012,PAY-2026-0013,21619.99,2026-07-07
BNK-00013,PAY-2026-0014,11854.13,2026-03-30
BNK-00014,PAY-2026-0015,13290.2,2026-12-17
BNK-00015,PAY-2026-0016,28520.05,2026-04-27
BNK-00016,PAY-2026-0017,941.12,2026-03-06
BNK-00017,PAY-2026-0018,919.33,2026-08-15
BNK-00018,PAY-2026-0019,16791.48,2026-12-18
BNK-00019,PAY-2026-0020,42146.78,2026-11-22
BNK-00020,PAY-2026-0021,6310.39,2026-11-17
BNK-00021,PAY-2026-0022,10559.07,2026-10-08
BNK-00022,PAY-2026-0023,22363.88,2026-07-13
BNK-00023,PAY-2026-0024,17681.41,2026-07-04
BNK-00024,PAY-2026-0025,16774.78,2026-04-13
BNK-00025,PAY-2026-0026,14566.34,2026-12-06
BNK-00026,PAY-2026-0027,9375.62,2026-05-05
BNK-00027,PAY-2026-0028,16830.55,2027-01-02
BNK-00028,PAY-2026-0029,30013.59,2026-11-08
BNK-00029,PAY-2026-0030,26751.69,2026-08-10
BNK-00030,PAY-2026-0031,37465.62,2026-03-22
BNK-00031,PAY-2026-0032,14617.61,2026-08-02
BNK-00032,PAY-2026-0033,2937.98,2026-06-02
BNK-00033,PAY-2026-0034,32510.54,2026-09-26
BNK-00034,PAY-2026-0035,32127.83,2026-06-29
BNK-00035,PAY-2026-0036,2338.89,2026-04-26
BNK-00036,PAY-2026-0037,24992.0,2026-10-09
BNK-00037,PAY-2026-0039,35026.21,2026-11-01
BNK-00038,PAY-2026-0040,32520.92,2026-08-27
BNK-00039,PAY-2026-0041,15176.22,2026-05-14
BNK-00040,PAY-2026-0042,31079.58,2026-12-05
BNK-00041,PAY-2026-0043,14815.8,2026-07-01
BNK-00042,PAY-2026-0044,16793.67,2026-08-10
BNK-00043,PAY-2026-0045,20939.59,2026-11-25
BNK-00044,PAY-2026-0046,2279.83,2026-01-31
BNK-00045,PAY-2026-0047,28638.47,2026-03-08
BNK-00046,PAY-2026-0048,2483.09,2026-03-17
BNK-00047,PAY-2026-0049,26428.44,2026-03-09
BNK-00048,PAY-2026-0050,27238.1,2026-10-19
BNK-00049,PAY-2026-0051,33467.83,2026-03-18
BNK-00050,PAY-2026-0053,18093.74,2026-06-23
BNK-00051,PAY-2026-0054,9120.99,2026-06-18
BNK-00052,PAY-2026-0055,32208.42,2027-01-12
BNK-00053,PAY-2026-0056,6038.79,2026-07-28
BNK-00054,PAY-2026-0057,36601.17,2026-11-27
BNK-00055,PAY-2026-0058,45533.42,2026-04-26
BNK-00056,PAY-2026-0059,16632.64,2026-06-13
BNK-00057,PAY-2026-0060,10008.57,2026-11-04
BNK-00058,PAY-2026-0061,5591.23,2026-04-16
BNK-00059,PAY-2026-0062,28590.49,2026-08-19
BNK-00060,PAY-2026-0063,13280.24,2026-07-01
BNK-00061,PAY-2026-0064,13303.71,2026-09-15
BNK-00062,PAY-2026-0065,38597.41,2026-06-11
BNK-00063,PAY-2026-0066,38482.68,2026-12-14
BNK-00064,PAY-2026-0067,17166.55,2026-05-12
BNK-00065,PAY-2026-0068,17653.97,2026-11-07
BNK-00066,PAY-2026-0069,10874.79,2026-02-16
BNK-00067,PAY-2026-0070,15257.88,2026-04-15
BNK-00068,PAY-2026-0071,41531.48,2026-05-19
BNK-00069,PAY-2026-0072,969.02,2026-03-05
BNK-00070,PAY-2026-0073,29087.48,2026-09-24
BNK-00071,PAY-2026-0074,15282.8,2026-05-30
BNK-00072,PAY-2026-0075,35049.04,2026-06-02
BNK-00073,PAY-2026-0076,26768.68,2026-03-11
BNK-00074,PAY-2026-0077,42092.71,2026-05-28
BNK-00075,PAY-2026-0078,25194.67,2026-09-12
BNK-00076,PAY-2026-0079,42212.37,2026-09-13
BNK-00077,PAY-2026-0080,32847.27,2026-08-25
BNK-00078,PAY-2026-0081,14027.65,2026-06-29
BNK-00079,PAY-2026-0082,44835.34,2026-02-07
BNK-00080,PAY-2026-0083,40181.74,2026-10-12
BNK-00081,PAY-2026-0084,15178.18,2026-09-03
BNK-00082,PAY-2026-0085,31963.62,2026-05-01
BNK-00083,PAY-2026-0086,6020.49,2026-04-20
BNK-00084,PAY-2026-0087,12352.27,2026-07-28
BNK-00085,PAY-2026-0088,45100.87,2026-09-15
BNK-00086,PAY-2026-0089,12363.07,2026-03-30
BNK-00087,PAY-2026-0090,26563.52,2026-10-03
BNK-00088,PAY-2026-0091,23866.21,2026-10-14
BNK-00089,PAY-2026-0092,44248.7,2026-04-16
BNK-00090,PAY-2026-0093,38664.43,2026-08-07
BNK-00091,PAY-2026-0094,18069.51,2026-05-23
BNK-00092,PAY-2026-0095,32791.83,2026-08-18
BNK-00093,PAY-2026-0096,24182.83,2026-03-17
BNK-00094,PAY-2026-0097,23543.22,2026-11-19
BNK-00095,PAY-2026-0098,36549.42,2026-07-22
BNK-00096,PAY-2026-0099,21612.05,2026-05-18
BNK-00097,PAY-2026-0100,45464.75,2026-09-11
BNK-00098,PAY-2026-0101,19773.38,2026-12-26
BNK-00099,PAY-2026-0102,8351.82,2026-09-07
BNK-00100,PAY-2026-0103,42150.76,2026-09-07
BNK-00101,PAY-2026-0104,10599.08,2026-04-09
BNK-00102,PAY-2026-0105,37569.06,2026-07-11
BNK-00103,PAY-2026-0106,24846.75,2026-08-06
BNK-00104,PAY-2026-0107,32596.21,2026-12-17
BNK-00105,PAY-2026-0108,7594.81,2026-09-19
BNK-00106,PAY-2026-0109,27088.43,2026-03-08
BNK-00107,PAY-2026-0110,31903.59,2026-11-09
BNK-00108,PAY-2026-0111,11460.52,2026-06-22
BNK-00109,PAY-2026-0112,903.13,2026-11-21
BNK-00110,PAY-2026-0113,28119.25,2026-12-10
BNK-00111,PAY-2026-0114,42800.71,2026-07-12
BNK-00112,PAY-2026-0115,26353.2,2026-08-14
BNK-00113,PAY-2026-0117,7018.46,2026-08-28
BNK-00114,PAY-2026-0118,18960.95,2026-03-19
BNK-00115,PAY-2026-0119,9850.00,2026-09-18
BNK-00116,PAY-2026-0120,9720.00,2026-09-19
BNK-00117,PAY-2026-0121,9905.00,2026-09-21
BNK-00118,PAY-2026-0122,9640.00,2026-09-22
BNK-00119,PAY-2026-0123,9880.00,2026-09-27
