GL Entry ID,Account,Reference,Amount,GL Date
GL-00001,2000,PAY-2026-0001,16607.94,2026-04-30
GL-00002,2000,PAY-2026-0002,23772.08,2026-04-04
GL-00003,2000,PAY-2026-0003,1506.04,2026-11-25
GL-00004,2000,PAY-2026-0004,38295.87,2026-12-03
GL-00005,2000,PAY-2026-0005,31783.25,2026-02-22
GL-00006,2000,PAY-2026-0006,20084.72,2026-08-04
GL-00007,2000,PAY-2026-0007,10049.8,2026-08-01
GL-00008,2000,PAY-2026-0009,4325.33,2026-03-16
GL-00009,2000,PAY-2026-0010,4634.92,2026-07-18
GL-00010,2000,PAY-2026-0011,44514.57,2026-10-02
GL-00011,2000,PAY-2026-0012,20615.45,2026-11-11
GL-00012,2000,PAY-2026-0013,21619.99,2026-07-05
GL-00013,2000,PAY-2026-0014,11854.13,2026-03-24
GL-00014,2000,PAY-2026-0015,13290.2,2026-12-13
GL-00015,2000,PAY-2026-0016,28520.05,2026-04-24
GL-00016,2000,PAY-2026-0018,919.33,2026-08-12
GL-00017,2000,PAY-2026-0019,16791.48,2026-12-12
GL-00018,2000,PAY-2026-0020,42146.78,2026-11-18
GL-00019,2000,PAY-2026-0021,6310.39,2026-11-16
GL-00020,2000,PAY-2026-0022,10559.07,2026-10-03
GL-00021,2000,PAY-2026-0023,22363.88,2026-07-08
GL-00022,2000,PAY-2026-0024,17681.41,2026-07-03
GL-00023,2000,PAY-2026-0025,16625.15,2026-04-11
GL-00024,2000,PAY-2026-0026,14566.34,2026-12-03
GL-00025,2000,PAY-2026-0027,9375.62,2026-05-01
GL-00026,2000,PAY-2026-0028,16830.55,2026-12-31
GL-00027,2000,PAY-2026-0029,30013.59,2026-11-02
GL-00028,2000,PAY-2026-0030,26751.69,2026-08-08
GL-00029,2000,PAY-2026-0031,37465.62,2026-03-17
GL-00030,2000,PAY-2026-0032,14617.61,2026-07-31
GL-00031,2000,PAY-2026-0033,2937.98,2026-05-27
GL-00032,2000,PAY-2026-0034,32510.54,2026-09-21
GL-00033,2000,PAY-2026-0035,32127.83,2026-06-25
GL-00034,2000,PAY-2026-0036,2338.89,2026-04-25
GL-00035,2000,PAY-2026-0037,24992.0,2026-10-07
GL-00036,2000,PAY-2026-0038,20076.43,2026-08-14
GL-00037,2000,PAY-2026-0039,35026.21,2026-10-26
GL-00038,2000,PAY-2026-0040,32520.92,2026-08-21
GL-00039,2000,PAY-2026-0041,15176.22,2026-05-10
GL-00040,2000,PAY-2026-0042,31079.58,2026-11-29
GL-00041,2000,PAY-2026-0043,14815.8,2026-06-26
GL-00042,2000,PAY-2026-0044,16793.67,2026-08-09
GL-00043,2000,PAY-2026-0045,20939.59,2026-11-24
GL-00044,2000,PAY-2026-0046,2279.83,2026-01-25
GL-00045,2000,PAY-2026-0047,28638.47,2026-03-06
GL-00046,2000,PAY-2026-0048,2483.09,2026-03-11
GL-00047,2000,PAY-2026-0049,26428.44,2026-03-03
GL-00048,2000,PAY-2026-0050,27238.1,2026-10-16
GL-00049,2000,PAY-2026-0051,33467.83,2026-03-15
GL-00050,2000,PAY-2026-0052,44804.65,2026-11-17
GL-00051,2000,PAY-2026-0053,18093.74,2026-06-20
GL-00052,2000,PAY-2026-0054,9120.99,2026-06-13
GL-00053,2000,PAY-2026-0055,32208.42,2027-01-08
GL-00054,2000,PAY-2026-0056,6038.79,2026-07-27
GL-00055,2000,PAY-2026-0057,36601.17,2026-11-22
GL-00056,2000,PAY-2026-0059,16632.64,2026-06-10
GL-00057,2000,PAY-2026-0060,10008.57,2026-11-03
GL-00058,2000,PAY-2026-0061,5591.23,2026-04-15
GL-00059,2000,PAY-2026-0062,28590.49,2026-08-14
GL-00060,2000,PAY-2026-0063,13280.24,2026-06-25
GL-00061,2000,PAY-2026-0064,13303.71,2026-09-13
GL-00062,2000,PAY-2026-0065,38597.41,2026-06-10
GL-00063,2000,PAY-2026-0066,38482.68,2026-12-10
GL-00064,2000,PAY-2026-0067,17166.55,2026-05-10
GL-00065,2000,PAY-2026-0068,17653.97,2026-11-04
GL-00066,2000,PAY-2026-0069,10874.79,2026-02-11
GL-00067,2000,PAY-2026-0070,15257.88,2026-04-09
GL-00068,2000,PAY-2026-0071,41531.48,2026-05-17
GL-00069,2000,PAY-2026-0072,969.02,2026-03-03
