Receipt Number,PO Number,Received Amount,Receipt Date
GRN-2026-0001,PO-2026-0001,16607.94,2026-03-22
GRN-2026-0002,PO-2026-0002,23772.08,2026-03-11
GRN-2026-0003,PO-2026-0003,1577.0,2026-11-07
GRN-2026-0004,PO-2026-0004,40827.15,2026-11-13
GRN-2026-0005,PO-2026-0005,31783.25,2026-02-12
GRN-2026-0006,PO-2026-0006,20084.72,2026-07-13
GRN-2026-0007,PO-2026-0007,10049.8,2026-07-15
GRN-2026-0008,PO-2026-0008,27912.77,2026-02-27
GRN-2026-0009,PO-2026-0009,3244.00,2026-02-15
GRN-2026-0011,PO-2026-0011,44514.57,2026-08-16
GRN-2026-0012,PO-2026-0012,20615.45,2026-10-07
GRN-2026-0013,PO-2026-0013,21619.99,2026-06-08
GRN-2026-0014,PO-2026-0014,11854.13,2026-03-03
GRN-2026-0015,PO-2026-0015,13290.2,2026-11-10
GRN-2026-0016,PO-2026-0016,24169.53,2026-03-17
GRN-2026-0017,PO-2026-0017,941.12,2026-02-21
GRN-2026-0018,PO-2026-0018,919.33,2026-08-19
GRN-2026-0019,PO-2026-0019,16791.48,2026-10-30
GRN-2026-0021,PO-2026-0021,6310.39,2026-09-29
GRN-2026-0022,PO-2026-0022,10559.07,2026-09-08
GRN-2026-0023,PO-2026-0023,22363.88,2026-06-22
GRN-2026-0024,PO-2026-0024,17681.41,2026-05-28
GRN-2026-0025,PO-2026-0025,16625.15,2026-03-02
GRN-2026-0026,PO-2026-0026,14566.34,2026-11-02
GRN-2026-0027,PO-2026-0027,9375.62,2026-03-30
GRN-2026-0028,PO-2026-0028,16830.55,2026-11-26
GRN-2026-0029,PO-2026-0029,30013.59,2026-10-09
GRN-2026-0030,PO-2026-0030,26751.69,2026-07-03
GRN-2026-0031,PO-2026-0031,37465.62,2026-01-30
GRN-2026-0032,PO-2026-0032,14617.61,2026-06-22
GRN-2026-0033,PO-2026-0033,2937.98,2026-05-05
GRN-2026-0034,PO-2026-0034,32510.54,2026-08-11
GRN-2026-0035,PO-2026-0035,32127.83,2026-05-23
GRN-2026-0036,PO-2026-0036,2338.89,2026-04-03
GRN-2026-0037,PO-2026-0037,24992.0,2026-10-02
GRN-2026-0038,PO-2026-0038,20076.43,2026-07-13
GRN-2026-0039,PO-2026-0039,35026.21,2026-10-03
GRN-2026-0040,PO-2026-0040,32520.92,2026-08-15
GRN-2026-0041,PO-2026-0041,15176.22,2026-04-27
GRN-2026-0042,PO-2026-0042,31079.58,2026-11-08
GRN-2026-0044,PO-2026-0044,16793.67,2026-06-29
GRN-2026-0045,PO-2026-0045,20939.59,2026-11-01
GRN-2026-0046,PO-2026-0046,2279.83,2026-01-13
GRN-2026-0047,PO-2026-0047,28638.47,2026-01-30
GRN-2026-0048,PO-2026-0048,2483.09,2026-02-07
GRN-2026-0049,PO-2026-0049,26428.44,2026-02-20
GRN-2026-0050,PO-2026-0050,27238.1,2026-10-03
GRN-2026-0051,PO-2026-0051,33467.83,2026-01-31
GRN-2026-0052,PO-2026-0052,44804.65,2026-10-27
GRN-2026-0053,PO-2026-0053,18093.74,2026-05-23
GRN-2026-0054,PO-2026-0054,9120.99,2026-05-05
