Payment Number,Voucher Number,Vendor Number,Payment Amount,Payment Date,Created By,Approved By,Check Number
PAY-2026-0001,VCH-2026-0001,V1024,16607.94,2026-04-30,E231,E102,CHK-20001
PAY-2026-0002,VCH-2026-0002,V1039,23772.08,2026-04-04,E223,E119,CHK-20002
PAY-2026-0003,VCH-2026-0003,V1043,1577.0,2026-11-25,E204,E115,CHK-20003
PAY-2026-0004,VCH-2026-0004,V1035,40827.15,2026-12-03,E211,E115,CHK-20004
PAY-2026-0005,VCH-2026-0005,V1016,31783.25,2026-02-22,E204,E115,CHK-20005
PAY-2026-0006,VCH-2026-0006,V1040,20084.72,2026-08-04,E211,E108,CHK-20006
PAY-2026-0007,VCH-2026-0007,V1040,10049.8,2026-08-01,E231,E231,CHK-20007
PAY-2026-0008,VCH-2026-0008,V1031,27912.77,2026-04-03,E204,E119,CHK-20008
PAY-2026-0009,VCH-2026-0009,V1035,4325.33,2026-03-16,E218,E102,CHK-20009
PAY-2026-0010,VCH-2026-0010,V1017,4634.92,2026-07-18,E218,E119,CHK-20010
PAY-2026-0011,VCH-2026-0011,V1000,44514.57,2026-10-02,E223,E108,CHK-20011
PAY-2026-0012,VCH-2026-0012,V1034,20615.45,2026-11-11,E227,E115,CHK-20012
PAY-2026-0013,VCH-2026-9338,V1006,21619.99,2026-07-05,E227,E227,CHK-20013
PAY-2026-0014,VCH-2026-0014,V1009,11854.13,2026-03-24,E204,E102,CHK-20014
PAY-2026-0015,VCH-2026-0015,V1008,13290.2,2026-12-13,E231,E119,CHK-20015
PAY-2026-0016,VCH-2026-0016,V1022,28520.05,2026-04-24,E231,E102,CHK-20016
PAY-2026-0017,VCH-2026-0017,V1033,941.12,2026-03-05,E204,E102,CHK-20017
PAY-2026-0018,VCH-2026-0018,V1028,919.33,2026-08-12,E204,E119,CHK-20018
PAY-2026-0019,VCH-2026-0019,V1025,16791.48,2026-12-12,E211,E115,CHK-20019
PAY-2026-0020,VCH-2026-0020,V1018,42146.78,2026-11-18,E223,E119,CHK-20020
PAY-2026-0021,VCH-2026-0021,V1027,6310.39,2026-11-16,E223,E115,CHK-20021
PAY-2026-0022,VCH-2026-0022,V1005,10559.07,2026-10-03,E227,E115,CHK-20022
PAY-2026-0023,VCH-2026-0023,V1000,22363.88,2026-07-08,E218,E102,CHK-20023
PAY-2026-0024,VCH-2026-0024,V1000,17681.41,2026-07-03,E231,E102,CHK-20024
PAY-2026-0025,VCH-2026-0025,V1005,16625.15,2026-04-11,E211,E115,CHK-20025
PAY-2026-0026,VCH-2026-0026,V1030,14566.34,2026-12-03,E211,E102,CHK-20026
PAY-2026-0027,VCH-2026-0027,V1005,9375.62,2026-05-01,E211,E119,CHK-20027
PAY-2026-0028,VCH-2026-0028,V1034,16830.55,2026-12-31,E204,E115,CHK-20028
PAY-2026-0029,VCH-2026-0029,V1012,30013.59,2026-11-02,E204,E102,CHK-20029
PAY-2026-0030,VCH-2026-0030,V1042,26751.69,2026-08-08,E211,E115,CHK-20030
PAY-2026-0031,VCH-2026-0031,V1018,37465.62,2026-03-17,E211,E115,CHK-20031
PAY-2026-0032,VCH-2026-0032,V1022,14617.61,2026-07-31,E231,E108,CHK-20032
PAY-2026-0033,VCH-2026-0033,V1043,2937.98,2026-05-27,E231,E119,CHK-20033
PAY-2026-0034,VCH-2026-0034,V1032,32510.54,2026-09-21,E231,E119,CHK-20034
PAY-2026-0035,VCH-2026-0035,V1035,32127.83,2026-06-25,E227,E108,CHK-20035
PAY-2026-0036,VCH-2026-0036,V1018,2338.89,2026-04-25,E211,E102,CHK-20036
PAY-2026-0037,VCH-2026-0037,V1041,24992.0,2026-10-07,E218,E115,CHK-20037
PAY-2026-0038,VCH-2026-0038,V1017,20076.43,2026-08-14,E227,E102,CHK-20038
PAY-2026-0039,VCH-2026-0039,V1034,35026.21,2026-10-26,E227,E115,CHK-20039
PAY-2026-0040,VCH-2026-0040,V1012,32520.92,2026-08-21,E231,E108,CHK-20040
PAY-2026-0041,VCH-2026-0041,V1013,15176.22,2026-05-10,E204,E119,CHK-20041
PAY-2026-0042,VCH-2026-0042,V1003,31079.58,2026-11-29,E223,E119,CHK-20042
PAY-2026-0043,VCH-2026-0043,V1006,14815.8,2026-06-26,E227,E119,CHK-20043
PAY-2026-0044,VCH-2026-0044,V1011,16793.67,2026-08-09,E231,E119,CHK-20044
PAY-2026-0045,VCH-2026-0045,V1019,20939.59,2026-11-24,E204,E108,CHK-20045
PAY-2026-0046,VCH-2026-0046,V1013,2279.83,2026-01-25,E218,E119,CHK-20046
PAY-2026-0047,VCH-2026-0047,V1001,28638.47,2026-03-06,E223,E108,CHK-20047
PAY-2026-0048,VCH-2026-0048,V1033,2483.09,2026-03-11,E211,E119,CHK-20048
PAY-2026-0049,VCH-2026-0049,V1008,26428.44,2026-03-03,E231,E231,CHK-20049
PAY-2026-0050,VCH-2026-0050,V1037,27238.1,2026-10-16,E218,E108,CHK-20050
PAY-2026-0051,VCH-2026-0051,V1035,33467.83,2026-03-15,E231,E119,CHK-20051
PAY-2026-0052,VCH-2026-0052,V1014,44804.65,2026-11-17,E218,E119,CHK-20052
PAY-2026-0053,VCH-2026-0053,V1033,18093.74,2026-06-20,E211,E115,CHK-20053
PAY-2026-0054,VCH-2026-0054,V1026,9120.99,2026-06-13,E227,E102,CHK-20054
PAY-2026-0055,VCH-2026-9336,V1029,32208.42,2027-01-08,E227,E227,CHK-20055
PAY-2026-0056,VCH-2026-0056,V1002,6038.79,2026-07-27,E227,E108,CHK-20056
PAY-2026-0057,VCH-2026-0057,V1040,36601.17,2026-11-22,E218,E115,CHK-20057
PAY-2026-0058,VCH-2026-0058,V1017,45533.42,2026-04-21,E204,E102,CHK-20058
PAY-2026-0059,VCH-2026-0059,V1033,16632.64,2026-06-10,E231,E115,CHK-20059
PAY-2026-0060,VCH-2026-0060,V1042,10008.57,2026-11-03,E204,E102,CHK-20060
