PO Number,Vendor Number,PO Amount,PO Date,Created By,Approved By
PO-2026-0001,V1024,16607.94,2026-03-01,E305,E102
PO-2026-0002,V1039,23772.08,2026-02-27,E318,E119
PO-2026-0003,V1043,1577.0,2026-10-31,E312,E115
PO-2026-0004,V1035,40827.15,2026-11-01,E305,E115
PO-2026-0005,V1016,31783.25,2026-02-04,E312,E115
PO-2026-0006,V1040,20084.72,2026-06-26,E305,E108
PO-2026-0007,V1040,10049.8,2026-06-30,E312,E231
PO-2026-0008,V1031,27912.77,2026-02-08,E312,E119
PO-2026-0009,V1035,4325.33,2026-02-07,E318,E102
PO-2026-0010,V1017,4634.92,2026-07-04,E312,E119
PO-2026-0011,V1000,44514.57,2026-08-05,E312,E108
PO-2026-0012,V1034,20615.45,2026-09-16,E305,E115
PO-2026-0013,V1006,21619.99,2026-05-31,E312,E227
PO-2026-0014,V1009,11854.13,2026-02-13,E305,E102
PO-2026-0015,V1008,13290.2,2026-11-03,E312,E119
PO-2026-0016,V1022,24169.53,2026-03-05,E318,E102
PO-2026-0017,V1033,941.12,2026-02-01,E318,E102
PO-2026-0018,V1028,919.33,2026-08-10,E312,E119
PO-2026-0019,V1025,16791.48,2026-10-11,E318,E115
PO-2026-0020,V1018,42146.78,2026-09-25,E305,E119
PO-2026-0021,V1027,6310.39,2026-09-09,E305,E115
PO-2026-0022,V1005,10559.07,2026-08-22,E318,E115
PO-2026-0023,V1000,22363.88,2026-06-03,E305,E102
PO-2026-0024,V1000,17681.41,2026-05-15,E305,E102
PO-2026-0025,V1005,16625.15,2026-02-26,E318,E115
PO-2026-0026,V1030,14566.34,2026-10-23,E312,E102
PO-2026-0027,V1005,9375.62,2026-03-26,E305,E119
PO-2026-0028,V1034,16830.55,2026-11-16,E305,E115
PO-2026-0029,V1012,30013.59,2026-09-24,E312,E102
PO-2026-0030,V1042,26751.69,2026-06-12,E312,E115
PO-2026-0031,V1018,37465.62,2026-01-14,E318,E115
PO-2026-0032,V1022,14617.61,2026-06-08,E318,E108
PO-2026-0033,V1043,2937.98,2026-04-18,E312,E119
PO-2026-0034,V1032,32510.54,2026-07-21,E318,E119
PO-2026-0035,V1035,32127.83,2026-05-17,E318,E108
PO-2026-0036,V1018,2338.89,2026-03-20,E312,E102
PO-2026-0037,V1041,24992.0,2026-09-12,E318,E115
PO-2026-0038,V1017,20076.43,2026-06-25,E318,E102
PO-2026-0039,V1034,35026.21,2026-09-17,E312,E115
PO-2026-0040,V1012,32520.92,2026-08-04,E318,E108
PO-2026-0041,V1013,15176.22,2026-04-09,E312,E119
PO-2026-0042,V1003,31079.58,2026-10-22,E312,E119
PO-2026-0043,V1006,14815.8,2026-05-22,E305,E119
PO-2026-0044,V1011,16793.67,2026-06-08,E318,E119
PO-2026-0045,V1019,20939.59,2026-10-13,E305,E108
PO-2026-0046,V1013,2279.83,2026-01-10,E305,E119
PO-2026-0047,V1001,28638.47,2026-01-18,E318,E108
PO-2026-0048,V1033,2483.09,2026-02-01,E305,E119
PO-2026-0049,V1008,26428.44,2026-02-12,E305,E231
PO-2026-0050,V1037,27238.1,2026-09-17,E305,E108
