Ref,Assignment,Description of Misstatement,Account,Assertion,Adjusted or Unadjusted,Debit,Credit,Effect on Pre-tax Income,Qualitative Factors,Prepared By,Date
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
,,,,,,,,,,,
,Total adjusted,,,,,,,,,,
,Total unadjusted,,,,,,,,,,
,Overall materiality,420000,,,,,,,,,
,Performance materiality,315000,,,,,,,,,
,Clearly trivial threshold,21000,,,,,,,,,
,Unadjusted as % of overall materiality,,,,,,,,,,
,Conclusion (material / immaterial),,,,,,,,,,
,Report implication,,,,,,,,,,
